QT_VAGAS_AUTORIZADAS,CARGA_HORARIA,CATEGORIA_ADMINISTRATIVA_Privada com fins lucrativos,CATEGORIA_ADMINISTRATIVA_Privada sem fins lucrativos,CATEGORIA_ADMINISTRATIVA_Pública Estadual,CATEGORIA_ADMINISTRATIVA_Pública Federal,CATEGORIA_ADMINISTRATIVA_Pública Municipal,ORGANIZACAO_ACADEMICA_Centro Universitário,ORGANIZACAO_ACADEMICA_Faculdade,"ORGANIZACAO_ACADEMICA_Instituto Federal de Educação, Ciência e Tecnologia",ORGANIZACAO_ACADEMICA_Universidade,GRAU_Licenciatura,GRAU_Sequencial,GRAU_Tecnológico,GRAU_Área Básica de Ingresso (ABI),MODALIDADE_Educação a Distância,SITUACAO_CURSO_Em extinção,SITUACAO_CURSO_Extinto,REGIAO_IGNORADO/EXTERIOR,REGIAO_NORDESTE,REGIAO_NORTE,REGIAO_SUDESTE,REGIAO_SUL
0.7275606566508834,1.0297358654093918,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2.320119013573754,-1.4098399405883737,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.25504334195948236,-0.25905014119346825,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
-0.5412358365019528,2.027744149681205,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2.7445095647317714,-0.9662807031342346,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
-0.14747140759245192,-1.4344821204469371,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4.227688913624225,0.5738555380259709,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.29004462452921576,2.0031019698226413,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2.748884725052988,1.152946764702208,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.07128660846838193,2.9764680742358913,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
